"frame", "color", "size", "intensity", "x_pos", "y_pos", "id"
"0003.tif", "G", 1836, 0.0514786441114196, 1063.16230936819, 887.730936819172, 40
"0003.tif", "G", 1688, 0.0492039448728309, 1235.19431279621, 1439.16113744076, 0
"0003.tif", "G", 1756, 0.0492816680951715, 1319.3416856492, 645.497722095672, 71
"0003.tif", "G", 1788, 0.0500862315208856, 880.390380313199, 818.939597315436, 184
"0003.tif", "G", 1774, 0.0507556118230997, 817.509582863585, 351.413754227734, 51
"0003.tif", "G", 1788, 0.0514457825055382, 793.460850111857, 695.563758389262, 54
"0003.tif", "G", 1900, 0.0513873312683245, 1192.31684210526, 961.630526315789, 27
"0003.tif", "G", 1420, 0.0482816526852551, 985.454929577465, 1441.66901408451, 4
"0003.tif", "G", 1578, 0.0506915942639095, 873.365019011407, 596.082382762991, 34
"0003.tif", "G", 1404, 0.0507458262679431, 645.286324786325, 620.732193732194, 235
"0003.tif", "G", 1238, 0.0470487343891276, 114.124394184168, 880.977382875606, 64
"0003.tif", "G", 1078, 0.0516770442106026, 761.897959183673, 817.005565862709, 22
"0003.tif", "G", 1190, 0.0508002115135591, 899.647058823529, 978.58487394958, 109
"0003.tif", "G", 968, 0.0488973784145533, 1387.87603305785, 1053.19214876033, 79
"0003.tif", "G", 848, 0.0468955172655556, 113.547169811321, 744.983490566038, 188
"0003.tif", "G", 1008, 0.0487031942363034, 341.486111111111, 237.587301587302, 78
"0003.tif", "G", 816, 0.0485669033926314, 1077.5612745098, 598.661764705882, 15
"0003.tif", "G", 832, 0.0504967404393873, 664.956730769231, 673.286057692308, 17
"0003.tif", "G", 756, 0.0480460655118624, 712.891534391534, 334.812169312169, 19
"0003.tif", "G", 700, 0.0474545531614711, 1311.35428571429, 723.711428571429, 8
"0003.tif", "G", 894, 0.0485544043054114, 1392.24161073826, 373.246085011186, 146
"0003.tif", "G", 490, 0.0465209845437189, 1431.44081632653, 1281.79591836735, 85
"0003.tif", "G", 524, 0.0459985409214947, 1489.69465648855, 1266.8320610687, 231
